,,left,middle,right
eps=1e-14,mat_det_2x2,47,0,53
eps=1e-14,mat_det_2x2_lib,47,0,53
eps=1e-14,mat_det_3x3,47,0,53
eps=1e-14,mat_det_3x3_lib,47,0,53
eps=1e-12,mat_det_2x2,47,0,53
eps=1e-12,mat_det_2x2_lib,47,0,53
eps=1e-12,mat_det_3x3,47,0,53
eps=1e-12,mat_det_3x3_lib,47,0,53
eps=1e-10,mat_det_2x2,47,0,53
eps=1e-10,mat_det_2x2_lib,47,0,53
eps=1e-10,mat_det_3x3,47,0,53
eps=1e-10,mat_det_3x3_lib,47,0,53
eps=1e-08,mat_det_2x2,47,0,53
eps=1e-08,mat_det_2x2_lib,47,0,53
eps=1e-08,mat_det_3x3,47,0,53
eps=1e-08,mat_det_3x3_lib,47,0,53
