,,left,middle,right
eps=1e-14,mat_det_2x2,47,13,40
eps=1e-14,mat_det_2x2_lib,46,9,45
eps=1e-14,mat_det_3x3,45,12,43
eps=1e-14,mat_det_3x3_lib,46,14,40
eps=1e-12,mat_det_2x2,45,16,39
eps=1e-12,mat_det_2x2_lib,45,12,43
eps=1e-12,mat_det_3x3,45,16,39
eps=1e-12,mat_det_3x3_lib,45,16,39
eps=1e-10,mat_det_2x2,45,16,39
eps=1e-10,mat_det_2x2_lib,45,16,39
eps=1e-10,mat_det_3x3,45,16,39
eps=1e-10,mat_det_3x3_lib,45,16,39
eps=1e-08,mat_det_2x2,45,16,39
eps=1e-08,mat_det_2x2_lib,45,16,39
eps=1e-08,mat_det_3x3,45,16,39
eps=1e-08,mat_det_3x3_lib,45,16,39
